INFO 2024-05-06 17:24:14,925 autoreload 11069 8576334528Watching for file changes with StatReloader
WARNING 2024-05-06 17:24:16,783 log 11069 6200340480Not Found: /
WARNING 2024-05-06 17:24:16,785 basehttp 11069 6200340480"GET / HTTP/1.1" 404 2169
WARNING 2024-05-06 17:24:16,792 log 11069 6200340480Not Found: /favicon.ico
WARNING 2024-05-06 17:24:16,792 basehttp 11069 6200340480"GET /favicon.ico HTTP/1.1" 404 2220
WARNING 2024-05-06 17:24:21,800 log 11069 6200340480Not Found: /
WARNING 2024-05-06 17:24:21,801 basehttp 11069 6200340480"GET / HTTP/1.1" 404 2169
WARNING 2024-05-06 17:24:21,820 log 11069 6200340480Not Found: /favicon.ico
WARNING 2024-05-06 17:24:21,820 basehttp 11069 6200340480"GET /favicon.ico HTTP/1.1" 404 2220
WARNING 2024-05-06 17:24:23,314 log 11069 6200340480Not Found: /heads_and_tails/
WARNING 2024-05-06 17:24:23,316 basehttp 11069 6200340480"GET /heads_and_tails/ HTTP/1.1" 404 2235
INFO 2024-05-06 17:24:33,911 views 11069 6200340480About page accessed
INFO 2024-05-06 17:24:33,912 basehttp 11069 6200340480"GET /home/about/ HTTP/1.1" 200 140
INFO 2024-05-06 17:25:27,874 views 11069 6200340480Home page accessed
INFO 2024-05-06 17:25:27,876 basehttp 11069 6200340480"GET /home/ HTTP/1.1" 200 149
